alg|input|items|utc|ts|duration
dummy_sort|constant|10|13 Jun 2019 18:29:12.109271|1560450552116298|0.000000
dummy_sort|constant|100|13 Jun 2019 18:29:12.116502|1560450552116531|0.000000
dummy_sort|constant|1000|13 Jun 2019 18:29:12.116851|1560450552116880|0.000000
dummy_sort|constant|10000|13 Jun 2019 18:29:12.117578|1560450552117597|0.000000
dummy_sort|constant|100000|13 Jun 2019 18:29:12.122349|1560450552122395|0.003000
dummy_sort|sorted|10|13 Jun 2019 18:29:12.136286|1560450552136326|0.000000
dummy_sort|sorted|100|13 Jun 2019 18:29:12.136601|1560450552136634|0.000000
dummy_sort|sorted|1000|13 Jun 2019 18:29:12.137102|1560450552137139|0.000000
dummy_sort|sorted|10000|13 Jun 2019 18:29:12.138015|1560450552138061|0.000000
dummy_sort|sorted|100000|13 Jun 2019 18:29:12.141414|1560450552141470|0.007000
dummy_sort|reversed|10|13 Jun 2019 18:29:12.153099|1560450552153135|0.000000
dummy_sort|reversed|100|13 Jun 2019 18:29:12.153452|1560450552153482|0.000000
dummy_sort|reversed|1000|13 Jun 2019 18:29:12.153788|1560450552153819|0.000000
dummy_sort|reversed|10000|13 Jun 2019 18:29:12.154525|1560450552154558|0.000000
dummy_sort|reversed|100000|13 Jun 2019 18:29:12.156905|1560450552156961|0.004000
dummy_sort|random|10|13 Jun 2019 18:29:12.165472|1560450552165498|0.000000
dummy_sort|random|100|13 Jun 2019 18:29:12.165738|1560450552165770|0.000000
dummy_sort|random|1000|13 Jun 2019 18:29:12.166091|1560450552166120|0.000000
dummy_sort|random|10000|13 Jun 2019 18:29:12.167269|1560450552167306|0.004000
dummy_sort|random|100000|13 Jun 2019 18:29:12.178077|1560450552178126|0.058000
dummy_sort|interleaved|8|13 Jun 2019 18:29:12.299398|1560450552299444|0.000000
dummy_sort|interleaved|100|13 Jun 2019 18:29:12.299799|1560450552299831|0.000000
dummy_sort|interleaved|1000|13 Jun 2019 18:29:12.300239|1560450552300272|0.000000
dummy_sort|interleaved|10000|13 Jun 2019 18:29:12.301532|1560450552301566|0.003000
dummy_sort|interleaved|100000|13 Jun 2019 18:29:12.309316|1560450552309367|0.040000
dummy_sort|bucketed|10|13 Jun 2019 18:29:12.401146|1560450552401183|0.000000
dummy_sort|bucketed|100|13 Jun 2019 18:29:12.401450|1560450552401480|0.000000
dummy_sort|bucketed|1000|13 Jun 2019 18:29:12.401833|1560450552401864|0.001000
dummy_sort|bucketed|10000|13 Jun 2019 18:29:12.403240|1560450552403271|0.004000
dummy_sort|bucketed|100000|13 Jun 2019 18:29:12.412612|1560450552412674|0.067000
insertion_sort|constant|10|13 Jun 2019 18:29:12.541721|1560450552541766|0.000000
insertion_sort|constant|100|13 Jun 2019 18:29:12.542142|1560450552542175|0.000000
insertion_sort|constant|1000|13 Jun 2019 18:29:12.543061|1560450552543094|0.042000
insertion_sort|constant|10000|13 Jun 2019 18:29:12.586377|1560450552586410|3.099000
insertion_sort|constant|100000|13 Jun 2019 18:29:15.687012|1560450555687048|503.299000
insertion_sort|sorted|10|13 Jun 2019 18:37:38.989907|1560451058989942|0.001000
insertion_sort|sorted|100|13 Jun 2019 18:37:38.990236|1560451058990267|0.000000
insertion_sort|sorted|1000|13 Jun 2019 18:37:38.990915|1560451058990937|0.040000
insertion_sort|sorted|10000|13 Jun 2019 18:37:39.030995|1560451059031022|3.581000
insertion_sort|sorted|100000|13 Jun 2019 18:37:42.615060|1560451062615095|557.184000
insertion_sort|reversed|10|13 Jun 2019 18:46:59.808690|1560451619808753|0.000000
insertion_sort|reversed|100|13 Jun 2019 18:46:59.809194|1560451619809249|0.001000
insertion_sort|reversed|1000|13 Jun 2019 18:46:59.810562|1560451619810623|0.044000
insertion_sort|reversed|10000|13 Jun 2019 18:46:59.855322|1560451619855349|3.210000
insertion_sort|reversed|100000|13 Jun 2019 18:47:03.068396|1560451623068432|484.843000
insertion_sort|random|10|13 Jun 2019 18:55:07.914453|1560452107914487|0.000000
insertion_sort|random|100|13 Jun 2019 18:55:07.914795|1560452107914823|0.001000
insertion_sort|random|1000|13 Jun 2019 18:55:07.915542|1560452107915571|0.038000
insertion_sort|random|10000|13 Jun 2019 18:55:07.955005|1560452107955032|3.503000
insertion_sort|random|100000|13 Jun 2019 18:55:11.463758|1560452111463794|539.997000
